Customized_Data

VEHICLE
NUMBER     CAPACITY
  7         4

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE   TIME
 
    0      85         85          0          0	     1560          0
    1      70         69          0         78	      273         72
    2      59         80          0        150	      416         72
    3      60         79          0        215	      585         72
    4      78         93          0        273	      702         72
    5      88         77          0        351	      832         72
    6      73         59          0        442	      975         72
    7      59         99          0        468	     1170         72
    8      52        102          0        585	     1248         72
    9      65        109          0        624	      780         72
   10      73         65          0        702	      910         72
   11      86        117          0        780	     1040         72
   12      81        100          0        832	     1170         72
   13      95         87          0        910	     1040         72
   14      88         58          0        975	     1248         72
   15      92         68          0          0	      150         72
   16      87         44          0         78	      273         72
   17      46         44          0        150	      416         72
   18     102         74          0        215	      585         72
   19      68         46          0        273	      702         72
   20      43         30          0        351	      832         72
   21      70         48          0        442	      975         72
   22      94        110          0        468	     1170         72
   23      85         97          0        585	     1248         72
   24      89        103          0        624	      780         72
   25      93         62          0        702	      910         72
   26      71        127          0        780	     1040         72
   27      64        134          0        832	     1170         72
   28     104         83          0        910	     1040         72
   29     103         89          0        975	     1248         72
   30      72          9          0          0	      150         72
   31      98         53          0         78	      273         72
   32     107         42          0        150	      416         72
   33       6        151          0        260	      520         72
   34       3        136          0        273	      702         72
   35      76        105          0        351	      832         72
   36      89         28          0        442	      975         72
   37      87         28          0        468	     1170         72
   38     102          3          0        585       1248         72




























