generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,438,1.0748860800878053e-05,1.624966380002789e-05,1.3452574782357538e-05,1.0425237412918223e-06
1,445,1.1090804113540873e-05,1.678377730566577e-05,1.3489246229454812e-05,1.0863258158440353e-06
2,433,1.1090804113540873e-05,1.678377730566577e-05,1.349412415605845e-05,1.1224436569127634e-06
3,433,1.1120942137056106e-05,1.678377730566577e-05,1.3555056558362075e-05,1.1937553321283188e-06
4,446,1.1383478387478854e-05,1.7164771748938854e-05,1.3614152778370135e-05,1.2004798294243402e-06
5,441,1.1169601610247377e-05,1.7164771748938854e-05,1.3862452832514176e-05,1.2087700768274075e-06
6,418,1.1169601610247377e-05,1.7164771748938854e-05,1.3958729106192033e-05,1.1727228064969432e-06
7,445,1.1169601610247377e-05,1.7164771748938854e-05,1.3936456493523763e-05,1.1706045042317572e-06
8,433,1.1169601610247377e-05,1.7164771748938854e-05,1.40089840400112e-05,1.103031240610607e-06
9,425,1.1169601610247377e-05,1.7164771748938854e-05,1.4071121010255713e-05,1.129746978039703e-06
10,417,1.1169601610247377e-05,1.7164771748938854e-05,1.4208425697598544e-05,1.1576726195670045e-06
11,426,1.1169601610247377e-05,1.7164771748938854e-05,1.416288900231017e-05,1.196950115659803e-06
12,433,1.1419599947431468e-05,1.7858732947913097e-05,1.4240364542102242e-05,1.2252486018856576e-06
13,431,1.1419599947431468e-05,1.7858732947913097e-05,1.4278940950632902e-05,1.2076059680896937e-06
14,424,1.1419599947431468e-05,1.7858732947913097e-05,1.4385842743238982e-05,1.2056453875438127e-06
15,436,1.1419599947431468e-05,1.7858732947913097e-05,1.4383951610485416e-05,1.1969385495220297e-06
16,431,1.1419599947431468e-05,1.7858732947913097e-05,1.440701145076359e-05,1.2393896316782622e-06
17,439,1.1419599947431468e-05,1.7858732947913097e-05,1.450301033141214e-05,1.2674411658288176e-06
18,412,1.1419599947431468e-05,1.7858732947913097e-05,1.4588732917461916e-05,1.321511076158263e-06
19,436,1.1419599947431468e-05,1.7858732947913097e-05,1.466992291588795e-05,1.3663450842957316e-06
20,434,1.1419599947431468e-05,1.7858732947913097e-05,1.4776404508425276e-05,1.371486662157781e-06
21,427,1.1419599947431468e-05,1.7858732947913097e-05,1.482025649350746e-05,1.383696006964476e-06
22,414,1.1419599947431468e-05,1.7858732947913097e-05,1.4872609493362e-05,1.3386339949737671e-06
23,459,1.1419599947431468e-05,1.821094850475906e-05,1.4924035837461204e-05,1.3536920868263384e-06
24,427,1.1061766784129174e-05,1.821094850475906e-05,1.4970668584825817e-05,1.3516609448203632e-06
25,434,1.1061766784129174e-05,1.8330540244070714e-05,1.5015726413221283e-05,1.3836343007055588e-06
26,426,1.1061766784129174e-05,1.8330540244070714e-05,1.4954938673827048e-05,1.4311465864385208e-06
27,444,1.1061766784129174e-05,1.838382130799312e-05,1.4999933995193721e-05,1.4415911029817353e-06
28,438,1.2169071925881597e-05,1.838382130799312e-05,1.5031632383410674e-05,1.4118551516308039e-06
29,443,1.2215364691912998e-05,1.8542484191513885e-05,1.5083839761250419e-05,1.4128272446272624e-06
30,425,1.1972671437613826e-05,1.883729824025117e-05,1.5132236170207331e-05,1.391619098938601e-06
31,445,1.1957334108844841e-05,1.9669474974432938e-05,1.5220515250537677e-05,1.4036726907412987e-06
32,418,1.1741366039734691e-05,1.9669474974432938e-05,1.5190608226280893e-05,1.4336495746996593e-06
33,438,1.1871816826187757e-05,1.9669474974432938e-05,1.5250937755667863e-05,1.375457361917151e-06
34,427,1.1957334108844841e-05,1.9669474974432938e-05,1.530334786378043e-05,1.4060516094267912e-06
35,443,1.1957334108844841e-05,1.9830613382840744e-05,1.5262891855171004e-05,1.3750298139316679e-06
36,444,1.1461608115129837e-05,1.8349764672509496e-05,1.5165440599379646e-05,1.4259150528952793e-06
37,428,1.1957334108844841e-05,1.8349764672509496e-05,1.5282703302675504e-05,1.4677554627331949e-06
38,443,1.2273864829575203e-05,1.8349764672509496e-05,1.5393751194765347e-05,1.4462308722869625e-06
39,420,1.2273864829575203e-05,1.8434932368813263e-05,1.5417812128652754e-05,1.4784394113167408e-06
40,429,1.1580900735941401e-05,1.931983736601623e-05,1.5501367612229214e-05,1.4443262311173743e-06
41,431,1.201142769389895e-05,1.931983736601623e-05,1.5572891343215958e-05,1.444348961446055e-06
42,426,1.1860072471928623e-05,1.931983736601623e-05,1.5632291425474026e-05,1.5381054937298255e-06
43,428,1.1860072471928623e-05,1.99834407910995e-05,1.5691258357954814e-05,1.580463930895811e-06
44,434,1.1860072471928623e-05,1.99834407910995e-05,1.598566495291473e-05,1.6394677368947698e-06
45,437,1.2064526157671563e-05,1.99834407910995e-05,1.612930525308066e-05,1.6647004834769681e-06
46,412,1.2095819377245793e-05,1.99834407910995e-05,1.631765805820567e-05,1.743689258035966e-06
47,440,1.2392811637556747e-05,1.99834407910995e-05,1.6310057036247353e-05,1.7253575034529855e-06
48,435,1.2130465979725359e-05,1.99834407910995e-05,1.6289935493719686e-05,1.7579945875652328e-06
49,437,1.2304412094510579e-05,1.99834407910995e-05,1.6335418379616472e-05,1.807471514756516e-06
50,425,1.170847588024509e-05,2.032763770368611e-05,1.6455908534831133e-05,1.8358349645490513e-06
51,435,1.2128657702409383e-05,2.032763770368611e-05,1.6558306147826806e-05,1.7695045749965553e-06
52,449,1.2193302545377402e-05,1.99834407910995e-05,1.6648386404439137e-05,1.7360690587271985e-06
53,452,1.1796862545474776e-05,1.998906768010539e-05,1.6676034998722874e-05,1.8229012601437047e-06
54,438,1.249107974362892e-05,1.998906768010539e-05,1.6573787137329175e-05,1.9120960216595974e-06
55,428,1.14952293213938e-05,1.998906768010539e-05,1.667796621766359e-05,1.8088124151742067e-06
56,431,1.14952293213938e-05,1.998906768010539e-05,1.660402172409893e-05,1.872503034280506e-06
57,441,1.1597685761683156e-05,1.998906768010539e-05,1.643193869975361e-05,1.941146172097105e-06
58,441,1.1747748834062402e-05,1.998906768010539e-05,1.6549823014254465e-05,1.8861565605401218e-06
59,412,1.1747748834062402e-05,1.99834407910995e-05,1.672781417906299e-05,1.7745271686758211e-06
60,430,1.2181445534831643e-05,1.99834407910995e-05,1.6847975719089675e-05,1.7622913298665567e-06
61,437,1.167328765044568e-05,1.99834407910995e-05,1.6912371160779113e-05,1.8156697480273232e-06
62,432,1.167328765044568e-05,1.99834407910995e-05,1.683233628555757e-05,1.7743440416063556e-06
63,423,1.1860072471928623e-05,2.0242274815196235e-05,1.68395697177014e-05,1.7808866897722275e-06
64,436,1.1860072471928623e-05,2.0242274815196235e-05,1.6931499707019474e-05,1.7608652354675759e-06
65,441,1.1860072471928623e-05,2.0242274815196235e-05,1.688985510422472e-05,1.8055579308496412e-06
66,428,1.1776838651230146e-05,2.0242274815196235e-05,1.684570109666467e-05,1.8275368765101019e-06
67,442,1.1776838651230146e-05,2.0242274815196235e-05,1.683292284101724e-05,1.815966438308575e-06
68,420,1.1776838651230146e-05,1.99834407910995e-05,1.6885487625195337e-05,1.8976953032643146e-06
69,443,1.1776838651230146e-05,1.99834407910995e-05,1.684884970011056e-05,1.8874884207429354e-06
70,430,1.1550824386802578e-05,1.99834407910995e-05,1.697670042810714e-05,1.92771710211382e-06
71,431,1.1752440187568337e-05,1.99834407910995e-05,1.6891432293707678e-05,1.9580642919470782e-06
